source,target,type,BOCnt,CCCnt,tot_revenue,avg_revenue
Morrison-Villanueva,Nicole Thompson,Beneficial Owner,1,0,0,0
Morris-Robinson,Matthew White,Company Contacts,0,1,0,0
Morrow and Sons,Lisa Allen,Company Contacts,0,1,0,0
Morrow Group,Robert Jackson,Beneficial Owner,1,0,0,0
"Morrow, Gregory and Robinson",Jared Herring,Beneficial Owner,1,0,0,0
"Morrow, Ross and Lee",Patricia Padilla,Company Contacts,0,1,0,0
Morrow-Lawrence,Lauren Boyd,Beneficial Owner,1,0,0,0
Morrow-Thompson,Michael Castillo,Beneficial Owner,1,0,0,0
Morse Inc,Teresa Duarte,Company Contacts,0,1,0,0
"Morse, Day and Durham",Vincent Reed,Company Contacts,0,1,0,0
"Morse, Gomez and Andrews",Mark Sellers,Company Contacts,0,1,0,0
Morse-Davis,Jonathan Ramsey,Beneficial Owner,1,0,0,0
Morse-Ingram,Melody Dudley,Company Contacts,0,1,0,0
Morse-Sweeney,Benjamin Haynes,Beneficial Owner,1,0,0,0
Morton PLC,Joseph Tran,Beneficial Owner,1,0,0,0
"Morton, Dougherty and Townsend",Kevin Morton,Company Contacts,0,1,0,0
"Morton, Townsend and Dunn",Ian Jensen,Beneficial Owner,1,0,0,0
"Morton, Watson and Wong",Meagan Franklin,Beneficial Owner,1,0,0,0
Morton-Keller,Alan Lambert,Beneficial Owner,1,0,0,0
Morton-Mcdaniel,Joshua Stewart,Beneficial Owner,1,0,0,0
Morton-Merritt,Ryan Anderson,Company Contacts,0,1,0,0
Morton-Potter,Cassandra Dalton,Beneficial Owner,1,0,0,0
"Moses, Alexander and Hill",Keith Contreras,Company Contacts,0,1,0,0
Moses-Moran,Kevin Burke,Beneficial Owner,1,0,0,0
Mosley and Sons,Brandon Hughes,Beneficial Owner,1,0,0,0
"Mosley, Jacobs and Burgess",Rebecca Bell,Beneficial Owner,1,0,0,0
"Mosley, Ochoa and Haas",Amanda Gomez,Company Contacts,0,1,0,0
"Mosley, Rogers and Gutierrez",John Romero,Beneficial Owner,1,0,0,0
"Mosley, Taylor and Davis",Austin Jenkins,Beneficial Owner,1,0,0,0
Mosley-Becker,Xavier Adams,Beneficial Owner,1,0,0,0
Mosley-Chan,Crystal Vaughan,Beneficial Owner,1,0,0,0
Mosley-Gordon,Brian Price,Beneficial Owner,1,0,0,0
Mosley-Harrison,Ryan Martin,Beneficial Owner,1,0,0,0
Mosley-Jones,Joy Humphrey,Company Contacts,0,1,0,0
Mosley-Mathews,Jacob Estrada,Beneficial Owner,1,0,0,0
Moss and Sons,Gerald Alexander,Beneficial Owner,1,0,0,0
"Moss, Riley and Clark",David Porter,Company Contacts,0,1,0,0
Moss-Castaneda,Julia Weaver,Company Contacts,0,1,0,0
Moss-Chambers,Richard Ortiz,Beneficial Owner,1,0,0,0
Moss-Soto,Jennifer Webb,Company Contacts,0,1,0,0
Moss-Williams,Patricia Williams,Beneficial Owner,1,0,0,0
Mount Kenya  Charter Boat  S.A. de C.V. Industrial,Sarah Rice,Beneficial Owner,1,1,27409.1737,27409.1737
Mount Kenya  Charter Boat  S.A. de C.V. Industrial,Nathan Chambers,Company Contacts,1,1,27409.1737,0
Mount Kenya  Co Shipping,Amy Stanton,Company Contacts,0,1,35904.2252,35904.2252
Mount Kenya  Company Consulting,Walter Clark,Company Contacts,0,1,5556.6728,5556.6728
Mount Kenya  Company Marine,Amanda Vaughn,Beneficial Owner,6,1,15226.3571,2537.726183
Mount Kenya  Company Marine,Sandra Tran,Beneficial Owner,6,1,15226.3571,2537.726183
Mount Kenya  Company Marine,Desiree Owens,Beneficial Owner,6,1,15226.3571,2537.726183
Mount Kenya  Company Marine,Robert Jennings,Beneficial Owner,6,1,15226.3571,2537.726183
Mount Kenya  Company Marine,Sarah Sawyer,Beneficial Owner,6,1,15226.3571,2537.726183
Mount Kenya  Company Marine,Jordan Turner,Beneficial Owner,6,1,15226.3571,2537.726183
Mount Kenya  Company Marine,Cathy Owens,Company Contacts,6,1,15226.3571,0
Mount Kenya  Incorporated Solutions,Russell Jackson,Beneficial Owner,1,1,0,0
Mount Kenya  Incorporated Solutions,Rebecca Evans,Company Contacts,1,1,0,0
Mount Kenya  Ltd. Corporation United,Mark Thompson,Company Contacts,0,1,18466.6728,18466.6728
Mount Kenya  Sp Marine,Joshua Little,Company Contacts,0,1,15366.6728,15366.6728
Mount Kenya  Tsunami GmbH & Co. KG Cargo,Ann Gonzalez,Company Contacts,0,1,219798.5456,219798.5456
Moyer and Sons,Jennifer Guerra,Company Contacts,0,1,0,0
"Moyer, Jacobs and Thomas",Scott Gutierrez,Company Contacts,0,1,0,0
Moyer-Price,Stephanie James,Company Contacts,0,1,0,0
Moyer-Williams,George Turner,Beneficial Owner,1,0,0,0
Mueller and Sons,Mrs. Colleen Malone,Company Contacts,1,1,0,0
Mueller and Sons,Anna Brown,Beneficial Owner,1,1,0,0
Mueller LLC,Thomas Mcdonald,Beneficial Owner,1,0,0,0
Mueller PLC,Tammy Bryant,Company Contacts,0,1,0,0
"Mueller, Beck and Wright",Alex Andrade,Beneficial Owner,1,0,0,0
Mueller-Banks,Joseph Gonzales,Beneficial Owner,1,0,0,0
mǔlì S.A. de C.V.,Elaine Wilson,Beneficial Owner,3,1,141501.9677,47167.32257
mǔlì S.A. de C.V.,Nicholas Rose,Beneficial Owner,3,1,141501.9677,47167.32257
mǔlì S.A. de C.V.,Anne Hayes,Beneficial Owner,3,1,141501.9677,47167.32257
mǔlì S.A. de C.V.,Heather Johnson,Company Contacts,3,1,141501.9677,0
"Mullen, Garcia and Oconnor",Nina Miller,Company Contacts,0,1,0,0
Mullen-Brown,Amy Mitchell,Company Contacts,0,1,0,0
Mullins PLC,Leslie Lowe,Company Contacts,0,1,0,0
"Mullins, Patel and English",Lorraine Cook,Beneficial Owner,1,0,0,0
"Mullins, Turner and Hensley",Jennifer Howard,Beneficial Owner,1,0,0,0
Munoz Group,Ralph Frazier,Beneficial Owner,1,0,0,0
Munoz Ltd,Stephanie Paul,Company Contacts,0,1,0,0
Munoz PLC,Joann Gray,Beneficial Owner,2,0,0,0
Munoz PLC,Paul Martinez,Beneficial Owner,2,0,0,0
"Munoz, Allen and Coleman",Karen Young DVM,Beneficial Owner,1,0,0,0
"Munoz, Alvarez and Cline",Duane Rivas,Beneficial Owner,1,0,0,0
"Munoz, Herring and Kim",Andrew Caldwell MD,Beneficial Owner,1,0,0,0
"Munoz, Holden and Booth",Jonathan Frost,Beneficial Owner,1,0,0,0
Murillo PLC,Brandon Rodriguez,Beneficial Owner,1,0,0,0
Murillo-Dickson,Patricia Moore,Company Contacts,0,1,0,0
Murillo-Howard,Pamela Young,Beneficial Owner,1,0,0,0
Murillo-Johnson,Renee Avery,Beneficial Owner,1,0,0,0
Murillo-Price,Sara Keller,Beneficial Owner,1,0,0,0
Murphy and Sons,Stephanie Robinson,Beneficial Owner,1,1,0,0
Murphy and Sons,Peter Evans,Company Contacts,1,1,0,0
Murphy Group,Kayla Little,Beneficial Owner,1,1,0,0
Murphy Group,Elizabeth Scott,Company Contacts,1,1,0,0
Murphy Inc,Steven Nielsen,Beneficial Owner,2,2,0,0
Murphy Inc,Nicholas Thomas,Company Contacts,2,2,0,0
Murphy Inc,Michelle Payne,Beneficial Owner,2,2,0,0
Murphy Inc,Jared Bryant,Company Contacts,2,2,0,0
Murphy LLC,Sara Phillips,Company Contacts,0,1,0,0
Murphy Ltd,Mark Cook,Beneficial Owner,3,0,0,0
Murphy Ltd,Leslie Davis,Beneficial Owner,3,0,0,0
Murphy Ltd,Jessica Cummings,Beneficial Owner,3,0,0,0
Murphy PLC,Miranda Harvey,Beneficial Owner,1,1,0,0
Murphy PLC,Samantha Hawkins,Company Contacts,1,1,0,0
"Murphy, Chen and Keller",Alan Morse,Company Contacts,0,1,0,0
"Murphy, Cummings and Mendoza",Mark Hughes,Beneficial Owner,1,0,0,0
"Murphy, Gould and Hernandez",Roberta Johnston,Beneficial Owner,1,0,0,0
"Murphy, Harris and Miller",Lauren Hurst,Company Contacts,0,1,0,0
"Murphy, Miller and Cruz",Darryl Williams,Beneficial Owner,1,0,0,0
"Murphy, Norman and Joyce",Sarah Anderson,Company Contacts,0,1,0,0
"Murphy, Robbins and Whitehead",Brian Gibson,Beneficial Owner,1,0,0,0
"Murphy, Roberts and Young",Kenneth Graham,Beneficial Owner,1,0,0,0
"Murphy, Schneider and Brown",Richard Shah,Company Contacts,0,1,0,0
"Murphy, Soto and Duncan",John Howell,Company Contacts,0,1,0,0
"Murphy, Taylor and Silva",Michele Washington,Beneficial Owner,1,0,0,0
"Murphy, Young and Mosley",Terri Richardson,Beneficial Owner,1,0,0,0
Murphy-Marsh,Jennifer Church,Company Contacts,0,1,0,0
Murphy-Russell,James Smith,Beneficial Owner,1,0,0,0
Murphy-Scott,Robert Simpson,Beneficial Owner,1,0,0,0
Murphy-Stephens,Benjamin Ramirez,Beneficial Owner,1,0,0,0
Murray and Sons,Danielle Cisneros,Beneficial Owner,1,0,0,0
Murray Group,Scott Mcclure,Company Contacts,0,1,0,0
Murray Inc,Jessica Barrett,Beneficial Owner,2,0,0,0
Murray Inc,William Matthews,Beneficial Owner,2,0,0,0
Murray PLC,Beth Giles,Company Contacts,0,1,0,0
"Murray, Ball and Barnes",Susan Harrell,Company Contacts,0,1,0,0
"Murray, Johnson and Collier",Michelle Morgan,Beneficial Owner,1,0,0,0
"Murray, Romero and Gilmore",Scott Rodriguez,Company Contacts,0,1,0,0
"Murray, Solomon and Barrett",Christine Salinas,Beneficial Owner,1,0,0,0
"Murray, Stephens and Jimenez",Tony Shaw,Beneficial Owner,1,0,0,0
"Murray, Williams and Warner",Jessica Munoz,Company Contacts,0,1,0,0
Murray-Aguirre,Erin Richards,Company Contacts,0,1,0,0
Murray-Chapman,Katelyn Jones,Company Contacts,0,1,0,0
Murray-Coleman,Brandon Stone,Beneficial Owner,1,0,0,0
Murray-Padilla,Matthew Monroe,Beneficial Owner,1,0,0,0
Murray-Tanner,Carlos Hutchinson,Beneficial Owner,1,0,0,0
Murray-Williams,Melinda Brown,Beneficial Owner,1,0,0,0
Myers and Sons,Jasmine Smith,Beneficial Owner,2,0,0,0
Myers and Sons,Luke Jackson,Beneficial Owner,2,0,0,0
Myers Group,Chad Miller,Beneficial Owner,1,0,0,0
Myers Inc,Timothy Mitchell,Beneficial Owner,1,0,0,0
Myers Ltd,Thomas Brown,Beneficial Owner,2,0,0,0
Myers Ltd,Robert Gross,Beneficial Owner,2,0,0,0
Myers PLC,Scott Salas,Beneficial Owner,1,0,0,0
"Myers, Farley and Hill",Jay Carpenter,Beneficial Owner,1,0,0,0
"Myers, Garcia and Herrera",Raymond Walters,Company Contacts,0,1,0,0
"Myers, Hardin and Brewer",Autumn Keller,Company Contacts,0,1,0,0
"Myers, Hogan and Mcclain",Zachary Jordan,Beneficial Owner,1,0,0,0
"Myers, Howard and Bates",Victoria Jones,Company Contacts,0,1,0,0
"Myers, Hutchinson and Foster",Alexandria Lyons,Company Contacts,0,1,0,0
"Myers, Maynard and Ortiz",Jonathan Pitts,Beneficial Owner,1,0,0,0
"Myers, Payne and Jackson",Caitlin Liu,Company Contacts,0,1,0,0
"Myers, Ritter and Cooper",Debra Lowe,Company Contacts,0,1,0,0
"Myers, Willis and Moore",Jay Larson,Company Contacts,0,1,0,0
Myers-Crawford,Daniel Wong,Beneficial Owner,1,0,0,0
Myers-Cuevas,Michael Barker,Beneficial Owner,1,0,0,0
Myers-Griffith,Kathryn Moreno,Company Contacts,0,1,0,0
Myers-Johnson,Sandy Lester,Beneficial Owner,1,0,0,0
Myers-Meyer,Chelsea Meyer,Beneficial Owner,1,0,0,0
Myers-Owens,Matthew Gallagher,Beneficial Owner,1,0,0,0
Myers-Porter,Peggy Rodriguez,Beneficial Owner,1,0,0,0
Myers-Smith,Marvin Schmidt,Beneficial Owner,1,0,0,0
Myers-Wood,Mercedes Buchanan,Beneficial Owner,1,0,0,0
Nagaland   Coral Ltd Marine life,Timothy Perkins,Company Contacts,0,1,7656.6728,7656.6728
Nagaland   Sagl Marine sanctuary,Taylor Hernandez,Company Contacts,0,1,422191.0686,422191.0686
Nagaland Sea  Company Investment,Dylan Wilson,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Heather Nelson,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Megan Hess,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Jenny Austin,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Scott Taylor,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,John Freeman,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Michael Moore,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Chase Rodriguez,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,James Welch,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,John Clark,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,John Graham,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Jessica Ware,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Brenda Lyons,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Ashley Roberts,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Tanya Myers,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Stephanie Mendoza,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Joel Young,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Kiara Torres,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Jessica Griffin,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Cody Bartlett,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Steven Guerrero,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Melissa Reed,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Paul Ramsey,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Mark Madden,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Tracy Collins,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Alex Daniels,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Andrea Cummings,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Alexander Cooper,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Samuel Wilson,Beneficial Owner,29,1,375759.2105,12957.21416
Nagaland Sea  Company Investment,Amanda Adams,Company Contacts,29,1,375759.2105,0
Nagaland Sea  GmbH Express,Amanda Nunez,Beneficial Owner,5,1,64752.8996,12950.57992
Nagaland Sea  GmbH Express,Gwendolyn Ramirez,Beneficial Owner,5,1,64752.8996,12950.57992
Nagaland Sea  GmbH Express,Taylor Montes,Beneficial Owner,5,1,64752.8996,12950.57992
Nagaland Sea  GmbH Express,Gary Davis,Beneficial Owner,5,1,64752.8996,12950.57992
Nagaland Sea  GmbH Express,Jessica Atkinson,Beneficial Owner,5,1,64752.8996,12950.57992
Nagaland Sea  GmbH Express,Oscar Davis,Company Contacts,5,1,64752.8996,0
Nagaland Sea  Limited Liability Company Enterprises,David Woods,Company Contacts,0,1,13376.6728,13376.6728
Nagaland Sea  Marine life,Bruce Middleton,Beneficial Owner,2,1,7171.6843,3585.84215
Nagaland Sea  Marine life,Todd Green,Beneficial Owner,2,1,7171.6843,3585.84215
Nagaland Sea  Marine life,Douglas Dickerson,Company Contacts,2,1,7171.6843,0
Nagaland Sea  N.V. Seagrass,Heather Gardner,Company Contacts,0,1,19366.6728,19366.6728
Nagaland Sea Catch AB Solutions,Angela Taylor,Beneficial Owner,1,1,28466.6728,28466.6728
Nagaland Sea Catch AB Solutions,Amy Wong,Company Contacts,1,1,28466.6728,0
Nagaland Sea Catch Dashi,Mindy Brooks,Company Contacts,0,1,12886.6728,12886.6728
Nagaland Sea Catch Estuary S.p.A. Line,Kristine Ruiz,Company Contacts,0,1,0,0
Nagaland Sea Catch GmbH,Katie Byrd,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Mr. David Foster,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Laura Ellis,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Megan Grant PhD,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,John Daniels,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Charles Goodwin,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Jordan Lambert,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Karen Williams,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Ashley Maldonado,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Makayla Dodson,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Hannah Wood,Beneficial Owner,11,1,104374.8515,9488.622864
Nagaland Sea Catch GmbH,Gina Moore,Company Contacts,11,1,104374.8515,0
Nagaland Sea Catch Ltd. Liability Co,Ralph Hoffman,Beneficial Owner,2,1,31733.7593,15866.87965
Nagaland Sea Catch Ltd. Liability Co,Laura Williams,Beneficial Owner,2,1,31733.7593,15866.87965
Nagaland Sea Catch Ltd. Liability Co,Dalton Scott,Company Contacts,2,1,31733.7593,0
Nagaland Sea Catch Ltd. Liability Co Logistics,David Thomas,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Mary Williams,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Jody Cobb,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Eugene Schroeder,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,George Prince,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Jason Rogers,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Craig Henry,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Mark Shaffer,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Abigail Morton,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Jordan Singleton,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Charles Mendez,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Tiffany Woods,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Curtis Reyes,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,John Woods,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Christopher Carpenter,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Jennifer Coleman,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Anthony Taylor,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Vanessa Stanton,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Malik Sanchez,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Jeffrey Johnson,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Russell Shelton,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Teresa Simmons,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Angela Bush,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Dr. Francisco Martinez,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Anita Flores,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Robert Collins,Beneficial Owner,26,1,54913.4275,2112.054904
Nagaland Sea Catch Ltd. Liability Co Logistics,Michelle Sanchez,Company Contacts,26,1,54913.4275,0
Nagaland Sea Catch S.A. de C.V.,Emily Stevens,Company Contacts,0,1,8766.6728,8766.6728
Nagaland Sea Catch Sailor,Joseph Garrett,Company Contacts,0,1,0,0
Nagaland Sea Catch Seabass S.p.A. Cargo,Emily Quinn,Company Contacts,0,1,0,0
Nagaland Sea Catch Seafarer Incorporated Consulting,Emily Medina,Company Contacts,0,1,0,0
Nagaland Sea Catch ОАО Line,Alexander Hoover,Company Contacts,0,1,23766.6728,23766.6728
Namib Desert  Limited Liability Company Holdings,Holly Vincent,Company Contacts,0,1,0,0
Namib Desert  Ltd. Corporation,Kristin Andrews,Beneficial Owner,5,1,14032.936,2806.5872
Namib Desert  Ltd. Corporation,Rhonda Mahoney,Beneficial Owner,5,1,14032.936,2806.5872
Namib Desert  Ltd. Corporation,Lisa Hall,Beneficial Owner,5,1,14032.936,2806.5872
Namib Desert  Ltd. Corporation,Robert Kidd,Beneficial Owner,5,1,14032.936,2806.5872
Namib Desert  Ltd. Corporation,Melissa Wallace,Beneficial Owner,5,1,14032.936,2806.5872
Namib Desert  Ltd. Corporation,Janice Velez,Company Contacts,5,1,14032.936,0
Namib Desert  Sagl Worldwide,Nancy Taylor,Company Contacts,0,1,18427.7851,18427.7851
Namib Desert  Shark Corp United,Robert Hill,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Paul Peterson,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Holly Thompson,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Jacqueline Sanders,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Jessica Hammond,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Christopher King,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Alexandra Mclean,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,David Lee,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,John Shelton,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Michael Roman,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Danny Bradley,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Patricia Hamilton,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Jane Kelly,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Whitney Diaz,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Brenda Miller,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Maria Grant,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Samantha Payne,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Kara Barnes,Beneficial Owner,18,1,13766.6728,764.8151556
Namib Desert  Shark Corp United,Caitlin Lamb,Company Contacts,18,1,13766.6728,0
Nash Group,Amber Parsons,Company Contacts,0,1,0,0
"Nash, Harris and Brown",Jason Rosales,Beneficial Owner,1,0,0,0
Nash-Howard,David Thornton,Beneficial Owner,1,0,0,0
Nash-Phelps,John Juarez,Company Contacts,0,1,0,0
Nash-Smith,Michael Marshall,Beneficial Owner,1,0,0,0
Náutica del Este A/S,Christina Juarez,Company Contacts,0,1,0,0
Náutica del Este AB,Ana Dawson,Beneficial Owner,1,1,20025.0614,20025.0614
Náutica del Este AB,Stephanie Wilson,Company Contacts,1,1,20025.0614,0
Náutica del Este Corp,Robert Williams,Company Contacts,0,1,0,0
Náutica del Este Ltd. Corporation,Cole Lawrence,Company Contacts,0,1,88966.6728,88966.6728
Náutica del Este NV,Danielle Miller,Company Contacts,0,1,2976383.753,2976383.753
Náutica del Este Oyj,Mr. Allen Cohen,Company Contacts,0,1,0,0
Náutica del Este S.p.A.,Brandon Olsen,Company Contacts,0,1,14436.6728,14436.6728
Náutica del Mar A/S,Jeffrey Cooper,Company Contacts,0,1,196106.0666,196106.0666
Náutica del Mar AG,Andrew Sanchez,Beneficial Owner,3,1,43573.3021,14524.43403
Náutica del Mar AG,Justin Diaz,Beneficial Owner,3,1,43573.3021,14524.43403
Náutica del Mar AG,Ashley Oneal,Beneficial Owner,3,1,43573.3021,14524.43403
Náutica del Mar AG,Heather Jenkins,Company Contacts,3,1,43573.3021,0
Náutica del Mar AG Worldwide,Brian Williams,Beneficial Owner,3,1,0,0
Náutica del Mar AG Worldwide,Luis Smith,Beneficial Owner,3,1,0,0
Náutica del Mar AG Worldwide,Gina Adams,Beneficial Owner,3,1,0,0
Náutica del Mar AG Worldwide,Sarah Phillips,Company Contacts,3,1,0,0
Náutica del Mar AS,Lori Harris,Company Contacts,0,1,9826.6728,9826.6728
Náutica del Mar GmbH & Co. KG,Anna Wheeler,Beneficial Owner,1,1,0,0
Náutica del Mar GmbH & Co. KG,Mr. Jason Carrillo,Company Contacts,1,1,0,0
Náutica del Mar LC,Shaun Paul,Company Contacts,0,1,67166.6728,67166.6728
Náutica del Mar LLC Enterprises,Gabriela Gray,Company Contacts,0,1,4828.6915,4828.6915
Náutica del Mar Pic,William Pineda,Beneficial Owner,3,2,37238.9242,12412.97473
Náutica del Mar Pic,Kristin Farley,Company Contacts,3,2,37238.9242,0
Náutica del Mar Pic,Andrea Ferguson,Beneficial Owner,3,2,37238.9242,12412.97473
Náutica del Mar Pic,Alexandra Campbell,Beneficial Owner,3,2,37238.9242,12412.97473
Náutica del Mar Pic,Erica Pham,Company Contacts,3,2,37238.9242,0
Náutica del Mar S.A. de C.V. Carriers,Angela Wood,Company Contacts,0,1,0,0
Náutica del Mar S.A. de C.V. Logistics,Gina Griffin,Beneficial Owner,1,0,22966.6728,22966.6728
Náutica del Mar Sagl,Austin Walls,Company Contacts,0,1,5256.6728,5256.6728
Náutica del Mar SE,Julie Chandler,Beneficial Owner,7,0,0,0
Náutica del Mar SE,Michael Horne,Beneficial Owner,7,0,0,0
Náutica del Mar SE,Emily Cummings,Beneficial Owner,7,0,0,0
Náutica del Mar SE,Briana Peterson,Beneficial Owner,7,0,0,0
Náutica del Mar SE,Autumn Eaton,Beneficial Owner,7,0,0,0
Náutica del Mar SE,Mr. William Lee,Beneficial Owner,7,0,0,0
Náutica del Mar SE,Kimberly Diaz,Beneficial Owner,7,0,0,0
Náutica del Mar Underwater,Beth Hanson,Company Contacts,0,1,0,0
Náutica del Norte A/S Express,Melissa Pennington,Company Contacts,0,1,0,0
Náutica del Norte AG,Nancy Franklin,Beneficial Owner,1,1,9332.353,9332.353
