source,target,type
Arena del Sol Ltd United,Brian Reed,Beneficial Owner
Arena del Sol Ltd United,Tyrone Rowland,Beneficial Owner
Arena del Sol Ltd United,Tammy Bates,Beneficial Owner
Arena del Sol Ltd United,Diana Sandoval,Company Contacts
Moore-Adams,Caleb Larson,Beneficial Owner
Beck Ltd,Melissa Carr,Beneficial Owner
"Christensen, Berg and Davila",Jeffrey Koch,Company Contacts
Pugh Ltd,Monique Jones,Company Contacts
Klein LLC,Michael Harris,Beneficial Owner
Thompson Inc,Nathan White,Beneficial Owner
"Martinez, Hart and Lynch",Brian Lowe,Beneficial Owner
Malone and Sons,Daniel Reed,Company Contacts
Haryana s Plc Transit,Jeff Spears,Beneficial Owner
Haryana s Plc Transit,Christine Sutton,Beneficial Owner
Haryana s Plc Transit,Courtney Schultz,Beneficial Owner
Haryana s Plc Transit,Gabriel Richmond,Company Contacts
Mar de la Vida Company Delivery,Kevin Collins,Company Contacts
Playa del Sol Corporation,Robert Garrett,Beneficial Owner
Playa del Sol Corporation,Misty Chambers,Beneficial Owner
Playa del Sol Corporation,Alexander Wilson,Beneficial Owner
Playa del Sol Corporation,Brianna Austin,Beneficial Owner
Playa del Sol Corporation,Richard Leach,Beneficial Owner
Playa del Sol Corporation,Jeremy Alexander,Beneficial Owner
Playa del Sol Corporation,Robert Bell,Beneficial Owner
Playa del Sol Corporation,Andrew Williams,Company Contacts
Sander Ltd. Corporation Enterprises,Billy Yates,Beneficial Owner
Sander Ltd. Corporation Enterprises,Lori Cox,Beneficial Owner
Sander Ltd. Corporation Enterprises,Angela Velasquez,Company Contacts
Adriatic Squid AS Holdings,Mrs. Nicole Nichols,Beneficial Owner
Adriatic Squid AS Holdings,Michael Quinn,Beneficial Owner
Adriatic Squid AS Holdings,Dustin Gentry,Beneficial Owner
Adriatic Squid AS Holdings,Dawn Tanner,Beneficial Owner
Adriatic Squid AS Holdings,Jennifer Small,Beneficial Owner
Adriatic Squid AS Holdings,Ashley Campbell,Beneficial Owner
Adriatic Squid AS Holdings,Eric Padilla,Beneficial Owner
Adriatic Squid AS Holdings,Julie Lynn,Beneficial Owner
Adriatic Squid AS Holdings,Theresa Spencer,Beneficial Owner
Adriatic Squid AS Holdings,Tracy Ramsey,Beneficial Owner
Adriatic Squid AS Holdings,Michael Sanders,Beneficial Owner
Adriatic Squid AS Holdings,Veronica Esparza,Beneficial Owner
Adriatic Squid AS Holdings,Lisa Long,Beneficial Owner
Adriatic Squid AS Holdings,Brent Olsen,Beneficial Owner
Adriatic Squid AS Holdings,Sylvia Smith,Beneficial Owner
Adriatic Squid AS Holdings,Sandra Morgan,Beneficial Owner
Adriatic Squid AS Holdings,Anthony Evans,Company Contacts
Ocean Oasis BV Transport,April Frazier,Beneficial Owner
Ocean Oasis BV Transport,Kenneth Waters,Beneficial Owner
Ocean Oasis BV Transport,Destiny Bishop,Beneficial Owner
Ocean Oasis BV Transport,Dawn Warren,Beneficial Owner
Ocean Oasis BV Transport,Cindy Martinez,Beneficial Owner
Ocean Oasis BV Transport,Dylan Maynard,Company Contacts
"Hess, Bates and Klein",Julie King,Company Contacts
Washington Inc,Charles Griffith,Company Contacts
Ancla del Este OJSC,Jason Lee,Beneficial Owner
Irish Trout S.p.A. Carriers,Jason Lee,Beneficial Owner
Ancla del Este OJSC,Mr. James Smith MD,Beneficial Owner
Irish Trout S.p.A. Carriers,Mr. James Smith MD,Beneficial Owner
Ancla del Este OJSC,Carlos Harvey,Company Contacts
Irish Trout S.p.A. Carriers,Carlos Harvey,Company Contacts
Lake Victoria Nile    Co,Gregory Kennedy,Company Contacts
Playa de la Luna CJSC,Gregory Kennedy,Company Contacts
Kerala  Market Tidal flat,Gregory Kennedy,Company Contacts
Blue Water Ventures Company,Gregory Kennedy,Company Contacts
AquaDelicious Kelp ОАО Transit,Gregory Kennedy,Company Contacts
Irish Mackerel S.A. de C.V. Marine biology,Wendy Gardner,Company Contacts
Irish Scallop Inc Transport,Gregg Decker,Company Contacts
"Moore, Lewis and Robinson",Katherine Mckee,Company Contacts
Bahía de Plata Trout,Shawn Ford,Company Contacts
Assam  Market Kga Brothers,Breanna Davidson,Beneficial Owner
Assam  Market Kga Brothers,Aaron Munoz,Beneficial Owner
Assam  Market Kga Brothers,Lucas Sanchez,Beneficial Owner
Assam  Market Kga Brothers,Julie Skinner,Beneficial Owner
Assam  Market Kga Brothers,Abigail Williams,Beneficial Owner
Assam  Market Kga Brothers,Edward Baker,Company Contacts
Congo River  AG Worldwide,Joshua Figueroa,Beneficial Owner
Congo River  AG Worldwide,Misty Long,Beneficial Owner
Congo River  AG Worldwide,Rhonda Kelley,Company Contacts
Daniel Ltd. Liability Co Express,Scott Keller,Company Contacts
Fan er  Beach S.p.A. Services,James Sandoval,Beneficial Owner
Fan er  Beach S.p.A. Services,William Martin,Beneficial Owner
Fan er  Beach S.p.A. Services,Cody Brock,Company Contacts
Surf and Sea BV Cargo,William Black,Company Contacts
Coastal Castaway Sp Consultants,Michael Hampton,Company Contacts
Ianira Limited Liability Company -,Carolyn Marks,Beneficial Owner
Ianira Limited Liability Company -,Kimberly Nguyen,Company Contacts
OJSC Limited Liability Company,Victor Macdonald,Beneficial Owner
Lake Kariba   Incorporated Family,Mr. John Wade DVM,Company Contacts
Belgian Shrimps Kga Holdings,Jim Parrish,Company Contacts
Maldonado-Barker,Brandon Lozano,Company Contacts
Costa del Viento AG,Andrew Williams,Company Contacts
WaterWorld NV & Son's,Andrew Williams,Company Contacts
ReefR estaurant Ltd Cargo,Amy Torres,Company Contacts
móguǐ yú A/S Shipping,Jeffrey Jimenez,Company Contacts
Selous Game Reserve  Sagl Investment,Joe Garcia,Beneficial Owner
Selous Game Reserve  Sagl Investment,William Smith,Beneficial Owner
Selous Game Reserve  Sagl Investment,Brent Conner,Company Contacts
"Jackson, Gonzalez and Gonzalez",Walter Matthews,Company Contacts
Stephenson-Romero,Holly Phillips,Beneficial Owner
Reilly-Hoover,Christopher Young,Company Contacts
7 GmbH & Co. KG,Ruth Young,Beneficial Owner
7 GmbH & Co. KG,Marcus Camacho,Beneficial Owner
7 GmbH & Co. KG,Margaret Guerrero,Beneficial Owner
7 GmbH & Co. KG,Elijah Stone,Beneficial Owner
7 GmbH & Co. KG,Sarah Williams,Company Contacts
Saltwater Surf Club S.A. de C.V. Logistics,Curtis Wilson,Beneficial Owner
Saltwater Surf Club S.A. de C.V. Logistics,Jennifer Jimenez,Beneficial Owner
Saltwater Surf Club S.A. de C.V. Logistics,Nicole Hernandez,Company Contacts
Isla del Mar Inc Marine sanctuary,Christopher Edwards,Beneficial Owner
Isla del Mar Inc Marine sanctuary,Nicolas Watson,Beneficial Owner
Isla del Mar Inc Marine sanctuary,Steven Obrien,Company Contacts
Ward-Jensen,Gary Steele DDS,Beneficial Owner
OceanFront Delights Sagl Enterprises,Chelsea Gay,Beneficial Owner
OceanFront Delights Sagl Enterprises,Robert Watson,Beneficial Owner
"Moss, Riley and Clark",David Porter,Company Contacts
Caracola del Sol Ltd. Liability Co,Matthew Murray,Beneficial Owner
AquaBlue Sailboat LC Express,Katie Thornton,Beneficial Owner
AquaBlue Sailboat LC Express,Kevin Forbes,Beneficial Owner
AquaBlue Sailboat LC Express,Carol Jacobs,Beneficial Owner
Griffith Inc,Victor Robertson,Beneficial Owner
Dennis Group,Ronald Griffin,Beneficial Owner
Williams-Watson,Joshua Morris,Beneficial Owner
Castro Group,Donald Knight,Beneficial Owner
Mcgrath Ltd,Mr. Allen Rodriguez,Beneficial Owner
Walters-Cain,Linda Allen,Beneficial Owner
Hays-Salas,Autumn Morris,Beneficial Owner
"Ortiz, Arias and Conway",Katelyn Roman,Beneficial Owner
"Murphy, Taylor and Silva",Michele Washington,Beneficial Owner
"Clark, Cervantes and Ballard",Zachary Obrien,Beneficial Owner
Baldwin-Evans,Jeffery Smith,Beneficial Owner
Lewis-Mcdonald,Rebecca Murphy,Company Contacts
Hancock Inc,Michael Johnson,Beneficial Owner
Young-Bell,Albert Burns,Beneficial Owner
"Irwin, Walls and Phillips",Alexander Rios,Beneficial Owner
Rich-Moss,Isabel Hicks,Beneficial Owner
"Smith, Thomas and Sellers",Adam Wiley,Beneficial Owner
Smith PLC,Latasha Simpson,Beneficial Owner
Ramsey-Morris,Matthew Stevens,Beneficial Owner
Gonzalez-Castaneda,Kathleen Sanchez,Beneficial Owner
Tamil Nadu   BV Beach,Kelly Zavala,Beneficial Owner
Samaka Chart ОАО Delivery,Matthew Harris,Company Contacts
Orrs S.A. de C.V. and Son's,Anthony Miller,Beneficial Owner
Orrs S.A. de C.V. and Son's,Jacob Lynch,Beneficial Owner
Orrs S.A. de C.V. and Son's,Lindsey Mayo,Company Contacts
Maharashtra Sea  AS Seagrass,Levi Evans,Beneficial Owner
Maharashtra Sea  AS Seagrass,Brittany Day,Beneficial Owner
Maharashtra Sea  AS Seagrass,John Walker,Beneficial Owner
Maharashtra Sea  AS Seagrass,Matthew Knox,Company Contacts
hǎi xīng Ltd Marine biology,Heather Villarreal,Company Contacts
Tshikwea GmbH & Co. KG Solutions,Scott Anderson,Beneficial Owner
Tshikwea GmbH & Co. KG Solutions,Dr. William Dawson,Company Contacts
Costa del Viento Inc,John Garrison,Beneficial Owner
fēi yú N.V. and Son's,Jennifer Schultz,Beneficial Owner
fēi yú N.V. and Son's,Sandra Khan,Beneficial Owner
fēi yú N.V. and Son's,Miguel Rodriguez,Beneficial Owner
fēi yú N.V. and Son's,Julie Williams,Beneficial Owner
fēi yú N.V. and Son's,Alyssa Torres,Company Contacts
Lena  Seal GmbH & Co. KG Solutions,Victoria Anderson,Company Contacts
Konkan Coast  NV Cargo,John Boyle,Beneficial Owner
Konkan Coast  NV Cargo,Joseph Acosta,Beneficial Owner
Konkan Coast  NV Cargo,Chelsea Mcdonald,Company Contacts
Esparza-Horton,Virginia Robinson,Beneficial Owner
Murphy Group,Elizabeth Scott,Company Contacts
Estrella de Coral Solutions -,Kevin Calderon,Beneficial Owner
Estrella de Coral Solutions -,Brittany Rosales,Company Contacts
"Coleman, Brown and Wilkerson",Mrs. Mallory Grant,Company Contacts
Bay of Bengal's S.A. de C.V.,Adam Anderson,Beneficial Owner
Bay of Bengal's S.A. de C.V.,Craig Ramirez,Company Contacts
"Sanders, Morris and Hopkins",Danielle Wright,Beneficial Owner
"Elliott, Barnes and Robinson",Elizabeth Ward,Company Contacts
Arunachal Pradesh s Kga Overseas,Dennis Maldonado,Company Contacts
Estrella de Mar LLC Shipping,Laura Maddox,Beneficial Owner
Ianira Limited Liability Company Marine,Laura Maddox,Beneficial Owner
Estrella de Mar LLC Shipping,Heather Ellis,Company Contacts
Ianira Limited Liability Company Marine,Heather Ellis,Company Contacts
Delhi   Anchor LC & Son's,Thomas Ortega,Beneficial Owner
Delhi   Anchor LC & Son's,Brenda Castillo,Company Contacts
Oceanfront Oases AS Overseas,Jeremiah Harvey,Company Contacts
Mediterranean s GmbH Marine biology,Matthew Martin,Beneficial Owner
Mediterranean s GmbH Marine biology,Joseph Anderson,Beneficial Owner
Mediterranean s GmbH Marine biology,Sarah Serrano,Beneficial Owner
Mediterranean s GmbH Marine biology,Tara Sheppard,Company Contacts
Punjab Sea  CJSC Estuary,Heather Diaz,Beneficial Owner
Punjab Sea  CJSC Estuary,Melissa Jimenez,Beneficial Owner
Punjab Sea  CJSC Estuary,Douglas Thompson,Beneficial Owner
Punjab Sea  CJSC Estuary,Nicole Johnson,Beneficial Owner
Punjab Sea  CJSC Estuary,Kelli Simmons,Beneficial Owner
Punjab Sea  CJSC Estuary,Marissa Torres,Company Contacts
Saltwater Solitude Marine conservation Dredge,Casey Bautista,Company Contacts
Congo Rapids   OJSC Leska,Micheal Holland,Company Contacts
Rush LLC,Valerie Blake,Company Contacts
OceanKing - AS Logistics,Brett Wells,Company Contacts
Balkan Pike Marine biology,Brett Wells,Company Contacts
Brynn Shark Incorporated United,Nicole Torres,Company Contacts
Coral Azul S.A. de C.V.,Brandi Peterson,Company Contacts
Maghreb   S.A. de C.V. Cargo,Madison Russell,Beneficial Owner
Maghreb   S.A. de C.V. Cargo,Mary Mora,Company Contacts
Coral Azul Ltd. Corporation Import,Melanie Logan,Company Contacts
Lloyd-Cohen,Hannah Burns,Beneficial Owner
Smith-Morrison,Brandi Adams,Company Contacts
Mark and Corp Marine sanctuary,Gina Olson,Beneficial Owner
Mark and Corp Marine sanctuary,Luke Smith,Beneficial Owner
Mark and Corp Marine sanctuary,Mary Morris,Beneficial Owner
Mark and Corp Marine sanctuary,Robert Mullins,Beneficial Owner
Mark and Corp Marine sanctuary,Philip Myers,Beneficial Owner
Mark and Corp Marine sanctuary,Gina Herrera,Company Contacts
Gulf of Guinea   Sagl Transportation,Christopher Campbell,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Olivia Aguirre,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Brittany Fischer,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Mrs. Terri Garcia MD,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Stacey Richardson,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Debbie Jones,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Kenneth Jones,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Cory Castillo,Beneficial Owner
Gulf of Guinea   Sagl Transportation,John Dunn,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Shannon Roberson,Beneficial Owner
Gulf of Guinea   Sagl Transportation,Charles Salas,Company Contacts
Romero Limited Liability Company,Mr. Tony Aguirre,Beneficial Owner
Romero Limited Liability Company,Christine Douglas,Beneficial Owner
Romero Limited Liability Company,Richard Collins,Beneficial Owner
Romero Limited Liability Company,Joshua Morgan,Beneficial Owner
Romero Limited Liability Company,Christopher Ray,Beneficial Owner
Romero Limited Liability Company,Michael Cook,Beneficial Owner
Romero Limited Liability Company,Dawn Carroll,Beneficial Owner
Romero Limited Liability Company,Samantha Kirby,Beneficial Owner
Romero Limited Liability Company,Mitchell Smith,Beneficial Owner
Romero Limited Liability Company,Dennis Cherry,Beneficial Owner
Romero Limited Liability Company,Johnny Flynn,Beneficial Owner
Romero Limited Liability Company,Jennifer Nixon,Beneficial Owner
Romero Limited Liability Company,Alexander Norton,Beneficial Owner
Romero Limited Liability Company,Michelle Jarvis,Beneficial Owner
Romero Limited Liability Company,Christopher Daniel,Beneficial Owner
Romero Limited Liability Company,Kendra Obrien,Beneficial Owner
Romero Limited Liability Company,Laura Gallagher,Beneficial Owner
Romero Limited Liability Company,David Rivas,Beneficial Owner
Romero Limited Liability Company,Denise Townsend,Beneficial Owner
Romero Limited Liability Company,Felicia Webb,Beneficial Owner
Romero Limited Liability Company,Crystal Schroeder,Beneficial Owner
Romero Limited Liability Company,Benjamin Chavez,Beneficial Owner
Romero Limited Liability Company,Nicole Bennett,Beneficial Owner
Romero Limited Liability Company,Timothy Snyder,Beneficial Owner
Romero Limited Liability Company,Alex Fleming,Beneficial Owner
Andaman  Roe BV Import,Jeremy Rush,Company Contacts
bái suō wěn lú GmbH,Jeremy Rush,Company Contacts
SeaFarms Limited Liability Company,Terri Carlson,Company Contacts
Diàoyú Barracuda Corp Industrial,Terri Carlson,Company Contacts
Austin-Porter,Michael Brown,Company Contacts
Portuguese Sea Bass AS,Jared Bernard,Company Contacts
Ward-Santos,Raymond Peterson,Beneficial Owner
"Harris, Hahn and Banks",Cole Monroe,Beneficial Owner
Fields-Barajas,Gregory Castro,Beneficial Owner
"Wagner, Reid and King",Christopher Cunningham,Beneficial Owner
Vazquez Inc,Donald Garcia,Company Contacts
"Dyer, Fernandez and Butler",Melissa Gamble,Company Contacts
Perla del Mar BV,Shawn Dennis,Company Contacts
Kilimajaro Slopes   ОАО Transit,Amber Patel,Beneficial Owner
Kilimajaro Slopes   ОАО Transit,Karen Barajas,Company Contacts
The Salted Pearl Co,Lisa Howell,Company Contacts
Ltd. Liability Co Company,Shawn Campbell,Company Contacts
Mason-Kline,Chris Kirk,Beneficial Owner
Poole Group,Danielle Lopez,Beneficial Owner
"Snyder, Martin and Davis",Mark Barr,Beneficial Owner
Stokes-Morales,Teresa Moran,Beneficial Owner
Nelson-Burke,Derek Smith,Beneficial Owner
Simpson-Wise,Allison King,Beneficial Owner
King-Jones,Joseph Griffith,Beneficial Owner
Flores and Sons,Katherine Campbell,Beneficial Owner
Jones-Diaz,Robert Hall,Beneficial Owner
Velazquez-Ramirez,Edward Stone,Beneficial Owner
Mckee-Irwin,Tammy Guerra,Beneficial Owner
"Holt, Scott and Mejia",Jessica Shaw,Beneficial Owner
Dean-Mclaughlin,Caitlin Benjamin,Beneficial Owner
Smith Group,Scott Grant,Beneficial Owner
Wilson PLC,Dorothy Spencer,Beneficial Owner
Perez-Howard,Ricky Jimenez,Beneficial Owner
Jackson-Adkins,Jeffrey Chapman,Beneficial Owner
Nolan Group,Tracey Savage,Beneficial Owner
Barker-Smith,Andrea Bowen,Beneficial Owner
Dillon Group,Laura Cook,Beneficial Owner
Combs Inc,Curtis Anderson,Beneficial Owner
House-Boone,Kristina Johnson,Beneficial Owner
Jones-Oneal,Mr. Christopher Snyder DDS,Company Contacts
Thomas S.A. de C.V. Logistics,Paula Mendoza,Beneficial Owner
Thomas S.A. de C.V. Logistics,Christina Johnson,Beneficial Owner
Thomas S.A. de C.V. Logistics,Emily Poole,Company Contacts
Sikkim  Market Incorporated Marine biology,Heidi Walker,Beneficial Owner
Sikkim  Market Incorporated Marine biology,Sara Beard,Beneficial Owner
Sikkim  Market Incorporated Marine biology,Katelyn Robinson,Beneficial Owner
Sikkim  Market Incorporated Marine biology,William Vaughan,Company Contacts
hǎi zhé S.A. de C.V.,Alicia Brown,Beneficial Owner
hǎi zhé S.A. de C.V.,Tyler Wright,Beneficial Owner
hǎi zhé S.A. de C.V.,Ashley Jones,Beneficial Owner
hǎi zhé S.A. de C.V.,Paul Smith,Beneficial Owner
hǎi zhé S.A. de C.V.,Walter Morris Jr.,Beneficial Owner
hǎi zhé S.A. de C.V.,Kevin Oneill,Beneficial Owner
hǎi zhé S.A. de C.V.,Wayne May,Beneficial Owner
hǎi zhé S.A. de C.V.,Donna Ramos,Beneficial Owner
hǎi zhé S.A. de C.V.,Jeff Owens,Beneficial Owner
hǎi zhé S.A. de C.V.,David Martinez,Beneficial Owner
hǎi zhé S.A. de C.V.,Ronald James,Beneficial Owner
hǎi zhé S.A. de C.V.,Richard Smith,Beneficial Owner
hǎi zhé S.A. de C.V.,Kimberly Doyle,Beneficial Owner
hǎi zhé S.A. de C.V.,John Jackson,Beneficial Owner
hǎi zhé S.A. de C.V.,Rachel Brown,Beneficial Owner
hǎi zhé S.A. de C.V.,Francisco Lewis,Beneficial Owner
hǎi zhé S.A. de C.V.,Nichole Goodman,Beneficial Owner
hǎi zhé S.A. de C.V.,Monica Steele,Beneficial Owner
hǎi zhé S.A. de C.V.,Jon Bell,Beneficial Owner
hǎi zhé S.A. de C.V.,Gerald Schneider,Beneficial Owner
hǎi zhé S.A. de C.V.,Timothy Hall,Company Contacts
"Galloway, Miller and Armstrong",Barbara Peck,Company Contacts
Cape of Good Hope   Kga,Miranda Cox,Beneficial Owner
Cape of Good Hope   Kga,Lacey Beck,Beneficial Owner
Cape of Good Hope   Kga,Brandy Chavez,Beneficial Owner
Cape of Good Hope   Kga,Trevor Romero,Company Contacts
Tamil Nadu   Ltd. Corporation Freight,Lee Brock,Beneficial Owner
Tamil Nadu   Ltd. Corporation Freight,Jane Banks,Beneficial Owner
Tamil Nadu   Ltd. Corporation Freight,Craig Robinson,Company Contacts
Conner and Sons,Mr. Joseph Henry,Company Contacts
Costa de la Felicidad Oyj,Daniel Boyer,Company Contacts
Gujarat ers S.A. de C.V. Investment,Jeffrey Mcconnell,Company Contacts
Oceanic Outfitters NV Freight,James Ramsey,Beneficial Owner
Oceanic Outfitters NV Freight,Allison Lawrence,Company Contacts
Jacobs LLC,Lisa Sanders,Company Contacts
Marlin Masters Limited Liability Company,Michelle Wilson,Beneficial Owner
Marlin Masters Limited Liability Company,Jack Torres,Beneficial Owner
Marlin Masters Limited Liability Company,Scott Wilson,Company Contacts
Hanson PLC,Amber Guerra,Beneficial Owner
"Boyer, Baker and Sellers",Tanya Thomas,Beneficial Owner
Williams PLC,Richard Campbell,Company Contacts
Rift Valley fishery Transport,Tara Love,Company Contacts
"Bird, Moore and Humphrey",Sandy Williams,Company Contacts
Oceanic Outfitters Estuary LC Worldwide,Miss Michelle Johnson,Beneficial Owner
Oceanic Outfitters Estuary LC Worldwide,Mr. Kevin Cameron DDS,Company Contacts
Taylor-Clark,Shawn Clark,Beneficial Owner
Clark-Rivers,Derek Blackburn,Beneficial Owner
Wolfe Group,Denise Daniels,Company Contacts
Robert Marine conservation A/S Express,Tammy Willis,Beneficial Owner
Robert Marine conservation A/S Express,Robert Raymond,Beneficial Owner
Robert Marine conservation A/S Express,Crystal Edwards,Company Contacts
Black Sea Anchovy Oyj Transport,Matthew Freeman,Beneficial Owner
Playa de Arena NV Logistics,Matthew Freeman,Beneficial Owner
Black Sea Anchovy Oyj Transport,Stephanie Walker,Company Contacts
Playa de Arena NV Logistics,Stephanie Walker,Company Contacts
"Hoffman, Lopez and Carrillo",Ryan Rodriguez,Company Contacts
Costa del Sol Kga,Ashley Brown,Company Contacts
Gonzalez-Thomas,Joseph Wilson,Beneficial Owner
Playa del Sol N.V. Export,Cameron Scott,Beneficial Owner
Zanzibar Archipelago   OJSC Logistics,Edward Kirk,Company Contacts
ReefRider Foods NV Logistics,Jamie Henderson,Company Contacts
Stichting Compass SRL Shipping,Jamie Henderson,Company Contacts
"Neal, Graves and Vasquez",Brian Collins,Company Contacts
Perez-Smith,Natalie Ryan,Beneficial Owner
Villarreal-Baird,Lisa Flores,Beneficial Owner
"Henderson, Walker and Rojas",Mathew Walsh,Company Contacts
Beachcombers Cod Corp Brothers,Matthew Gibbs,Beneficial Owner
Beachcombers Cod Corp Brothers,Anthony Reid,Company Contacts
SeaTrek Ltd. Corporation Carriers,Aaron Carr,Company Contacts
Great Ruaha River  Oceanfront,Julie Porter,Beneficial Owner
Great Ruaha River  Oceanfront,James Clark,Company Contacts
Water Wonders Limited Liability Company,Thomas White,Beneficial Owner
Water Wonders Limited Liability Company,Kimberly Michael,Beneficial Owner
Water Wonders Limited Liability Company,Jill Owen,Company Contacts
Howard PLC,Kathy Wilkins,Beneficial Owner
Smith-Park,Devin Hall,Beneficial Owner
Johns-Cabrera,Cynthia Carter,Beneficial Owner
Perkins PLC,Dr. Michael Russell Jr.,Beneficial Owner
"Holt, Hernandez and Krause",Michelle Pennington,Beneficial Owner
"Boyle, Moody and Skinner",Alyssa Nguyen,Beneficial Owner
Turner Ltd,Carolyn Tyler,Company Contacts
Nash-Phelps,John Juarez,Company Contacts
FinestSea Aquamarine AG United,William Roberts,Company Contacts
Mount Kenya  Sp Marine,Joshua Little,Company Contacts
"Miller, Solomon and Mcbride",Dawn Becker,Company Contacts
Matshakala Marine ecology AB & Son's,Paula Chen,Company Contacts
"Lang, Dunlap and Gonzales",Jackson Guzman,Company Contacts
Caracola del Este Ges.m.b.H.,John Sanchez,Company Contacts
Tamil  Seagrass Oyj Family,John Acevedo,Company Contacts
xún yú AS Transit,Charles Welch,Company Contacts
9 GmbH & Co. KG Solutions,Kimberly Meyer,Beneficial Owner
9 GmbH & Co. KG Solutions,Julia Beasley,Beneficial Owner
9 GmbH & Co. KG Solutions,Kurt Davila,Company Contacts
Williams-Mitchell,Meagan Miller,Beneficial Owner
Maldonado Inc,Kevin Lee,Company Contacts
Isla del Mar BV,Vanessa Gilbert,Company Contacts
Perla del Mar Ltd,Vanessa Gilbert,Company Contacts
"Trujillo, Powell and Miller",Jeffrey Moore,Company Contacts
Vasquez-Hoffman,Gabriel Griffin,Company Contacts
Jackson-Jones,Diana Logan,Beneficial Owner
Garcia Ltd,Bethany Vasquez,Beneficial Owner
"Richards, Crawford and Johnson",Hayley Shepherd,Company Contacts
Mar del Oeste Kga,Austin Shaw II,Company Contacts
Coastal Crusaders Corporation Beach,Jay Ayala,Company Contacts
Orrs S.A. de C.V.,Jose Cole,Company Contacts
Karnataka  Oyster  N.V. Overseas,Jose Cole,Company Contacts
Mount Kenya  Company Marine,Amanda Vaughn,Beneficial Owner
Mount Kenya  Company Marine,Sandra Tran,Beneficial Owner
Mount Kenya  Company Marine,Desiree Owens,Beneficial Owner
Mount Kenya  Company Marine,Robert Jennings,Beneficial Owner
Mount Kenya  Company Marine,Sarah Sawyer,Beneficial Owner
Mount Kenya  Company Marine,Jordan Turner,Beneficial Owner
Mount Kenya  Company Marine,Cathy Owens,Company Contacts
Lake Edward  NV Marine ecology,Mitchell Warren,Company Contacts
"Wallace, Chambers and Leon",Jonathan Reed,Beneficial Owner
Smith-Ware,Megan Patton,Beneficial Owner
Wilson PLC,Paul Fleming PhD,Beneficial Owner
"Clark, Wilson and Adams",Edwin Johnson,Beneficial Owner
Parker and Sons,Erica George MD,Beneficial Owner
Smith-Stanley,Kristin Rodriguez,Beneficial Owner
Watts-Bush,Sean Austin,Company Contacts
Goodwin-Flynn,Ricky Lewis,Beneficial Owner
"Walter, Conley and Lopez",Taylor Harris,Beneficial Owner
"Buchanan, Keith and Miller",Amanda Kim,Company Contacts
"Wilson, Lopez and White",Rachael Matthews,Beneficial Owner
Perez Group,Ronnie Carter,Beneficial Owner
"Jacobs, Smith and Duarte",Jo Stevenson,Beneficial Owner
"Patterson, Huff and Reeves",Tyler Brown,Beneficial Owner
Long LLC,Jonathan Burns,Beneficial Owner
Walsh LLC,Tammy Hoffman,Beneficial Owner
"Joseph, Vaughan and Morris",Sabrina Lara,Beneficial Owner
Chen-Byrd,Katherine Friedman,Beneficial Owner
Bass Inc,Matthew Hall,Company Contacts
Mar de Plata Yacht,Sarah Buchanan,Company Contacts
Isla Azul Inc Oyster,Sarah Buchanan,Company Contacts
"Lee, Bennett and Curry",Anthony Morris,Company Contacts
Burch-Baker,April Avila,Beneficial Owner
Reynolds-Jacobs,Victor Carlson,Company Contacts
Bahía del Este Company,Stephen Huerta,Beneficial Owner
Bahía del Este Company,Ronald Jackson,Beneficial Owner
Bahía del Este Company,Tracy Flores,Beneficial Owner
Bahía del Este Company,Zachary Collins,Company Contacts
Stark-Carlson,Michael Wiley,Company Contacts
Patterson LLC,Marc Baker,Beneficial Owner
"Luna, Torres and Cameron",Gail Trevino,Company Contacts
Greene-Holmes,Lisa Todd,Beneficial Owner
Jones-Chan,Stephanie Williams,Beneficial Owner
Cummings PLC,Carolyn Spence,Company Contacts
Blue Horizon OJSC Delivery,Michelle Rollins,Beneficial Owner
Blue Horizon OJSC Delivery,Catherine White,Beneficial Owner
Blue Horizon OJSC Delivery,Dr. Bianca Payne,Company Contacts
Jones-Bell,Angel Tucker,Beneficial Owner
Brown-Bowen,Bryan Hahn,Beneficial Owner
Rowe-Bryant,James King,Company Contacts
Thomas-Crawford,Joshua Walters,Company Contacts
Spanish Anchovy Plc Transport,Douglas Parker,Company Contacts
Petty-Gray,Benjamin Miller,Beneficial Owner
Simpson Group,Jenny Brown,Company Contacts
Marine Mavericks Plc Consulting,Monica Ray,Company Contacts
Hill Inc,Brian Valdez,Company Contacts
Kelly-Lee,James Durham,Beneficial Owner
Shaw-Smith,Angelica Hurst,Company Contacts
Orange River   Plc Catchers,Daniel Gibson,Company Contacts
Cape Verde Islands  Plc Otter,Jill Newman,Beneficial Owner
Surf and Sand Eel,Jill Newman,Beneficial Owner
Cape Verde Islands  Plc Otter,Duane Edwards,Company Contacts
Surf and Sand Eel,Duane Edwards,Company Contacts
"Coleman, Ray and Hart",Kelly Wade,Beneficial Owner
Ramirez-Mcfarland,Susan Diaz,Beneficial Owner
